Epoch [1/50], Loss: 2.1553, Train Acc: 25.64%, Val Acc: 28.34%
Epoch [2/50], Loss: 1.5633, Train Acc: 34.53%, Val Acc: 33.24%
Epoch [3/50], Loss: 1.4642, Train Acc: 39.19%, Val Acc: 47.41%
Epoch [4/50], Loss: 1.3710, Train Acc: 45.52%, Val Acc: 52.86%
Epoch [5/50], Loss: 1.3022, Train Acc: 47.44%, Val Acc: 46.05%
Epoch [6/50], Loss: 1.2972, Train Acc: 48.49%, Val Acc: 48.50%
Epoch [7/50], Loss: 1.2540, Train Acc: 49.42%, Val Acc: 51.50%
Epoch [8/50], Loss: 1.2283, Train Acc: 48.84%, Val Acc: 51.50%
Epoch [9/50], Loss: 1.2054, Train Acc: 50.70%, Val Acc: 54.22%
Epoch [10/50], Loss: 1.1579, Train Acc: 52.50%, Val Acc: 53.13%
Epoch [11/50], Loss: 1.1737, Train Acc: 52.73%, Val Acc: 53.13%
Epoch [12/50], Loss: 1.1298, Train Acc: 54.07%, Val Acc: 53.95%
Epoch [13/50], Loss: 1.2191, Train Acc: 52.67%, Val Acc: 48.77%
Epoch [14/50], Loss: 1.2096, Train Acc: 51.86%, Val Acc: 51.50%
Epoch [15/50], Loss: 1.2644, Train Acc: 48.78%, Val Acc: 56.40%
Epoch [16/50], Loss: 1.1790, Train Acc: 53.08%, Val Acc: 48.77%
Epoch [17/50], Loss: 1.2160, Train Acc: 49.88%, Val Acc: 55.59%
Epoch [18/50], Loss: 1.1768, Train Acc: 52.62%, Val Acc: 49.59%
Epoch [19/50], Loss: 1.2263, Train Acc: 51.40%, Val Acc: 42.23%
Epoch [20/50], Loss: 1.3079, Train Acc: 46.86%, Val Acc: 51.23%
Epoch [21/50], Loss: 1.2133, Train Acc: 51.74%, Val Acc: 50.41%
Epoch [22/50], Loss: 1.2074, Train Acc: 51.69%, Val Acc: 51.50%
Epoch [23/50], Loss: 1.1442, Train Acc: 53.95%, Val Acc: 52.59%
Epoch [24/50], Loss: 1.1440, Train Acc: 53.84%, Val Acc: 55.04%
Epoch [25/50], Loss: 1.1917, Train Acc: 51.16%, Val Acc: 53.41%
Epoch [26/50], Loss: 1.2100, Train Acc: 50.76%, Val Acc: 44.96%
Epoch [27/50], Loss: 1.2676, Train Acc: 48.90%, Val Acc: 47.14%
Epoch [28/50], Loss: 1.3263, Train Acc: 46.57%, Val Acc: 47.14%
Epoch [29/50], Loss: 1.1863, Train Acc: 52.85%, Val Acc: 55.04%
Epoch [30/50], Loss: 1.2496, Train Acc: 50.06%, Val Acc: 53.41%
Epoch [31/50], Loss: 1.2501, Train Acc: 49.83%, Val Acc: 48.50%
Epoch [32/50], Loss: 1.2672, Train Acc: 48.08%, Val Acc: 50.41%
Epoch [33/50], Loss: 1.2268, Train Acc: 51.40%, Val Acc: 49.32%
Epoch [34/50], Loss: 1.2424, Train Acc: 48.84%, Val Acc: 52.59%
Epoch [35/50], Loss: 1.2713, Train Acc: 48.60%, Val Acc: 53.41%
Epoch [36/50], Loss: 1.2232, Train Acc: 50.93%, Val Acc: 47.41%
Epoch [37/50], Loss: 1.1435, Train Acc: 53.84%, Val Acc: 43.60%
Epoch [38/50], Loss: 1.2242, Train Acc: 51.28%, Val Acc: 58.58%
Epoch [39/50], Loss: 1.1366, Train Acc: 54.83%, Val Acc: 55.31%
Epoch [40/50], Loss: 1.1544, Train Acc: 54.42%, Val Acc: 57.49%
Epoch [41/50], Loss: 1.1407, Train Acc: 54.77%, Val Acc: 55.04%
Epoch [42/50], Loss: 1.1059, Train Acc: 55.41%, Val Acc: 52.86%
Epoch [43/50], Loss: 1.1184, Train Acc: 55.64%, Val Acc: 57.49%
Epoch [44/50], Loss: 1.1782, Train Acc: 53.43%, Val Acc: 50.41%
Epoch [45/50], Loss: 1.2382, Train Acc: 50.64%, Val Acc: 55.31%
Epoch [46/50], Loss: 1.2007, Train Acc: 51.74%, Val Acc: 53.95%
Epoch [47/50], Loss: 1.1603, Train Acc: 53.66%, Val Acc: 56.13%
Epoch [48/50], Loss: 1.1821, Train Acc: 50.93%, Val Acc: 54.22%
Epoch [49/50], Loss: 1.1607, Train Acc: 53.26%, Val Acc: 50.68%
Epoch [50/50], Loss: 1.2192, Train Acc: 51.45%, Val Acc: 48.50%
Test Accuracy: 46.38%

lr=0.0001
batchsize=32
