Epoch [1/50], Loss: 2.0654, Train Acc: 27.67%, Val Acc: 41.42%
Epoch [2/50], Loss: 1.3658, Train Acc: 49.07%, Val Acc: 46.59%
Epoch [3/50], Loss: 1.1904, Train Acc: 54.59%, Val Acc: 65.94%
Epoch [4/50], Loss: 1.0271, Train Acc: 61.63%, Val Acc: 68.94%
Epoch [5/50], Loss: 0.9515, Train Acc: 65.64%, Val Acc: 68.39%
Epoch [6/50], Loss: 0.8010, Train Acc: 69.01%, Val Acc: 65.40%
Epoch [7/50], Loss: 0.6631, Train Acc: 75.17%, Val Acc: 74.93%
Epoch [8/50], Loss: 0.7988, Train Acc: 71.45%, Val Acc: 76.02%
Epoch [9/50], Loss: 0.6783, Train Acc: 75.06%, Val Acc: 78.47%
Epoch [10/50], Loss: 0.6991, Train Acc: 73.26%, Val Acc: 74.66%
Epoch [11/50], Loss: 0.6789, Train Acc: 74.65%, Val Acc: 72.21%
Epoch [12/50], Loss: 0.9016, Train Acc: 65.81%, Val Acc: 61.04%
Epoch [13/50], Loss: 0.8005, Train Acc: 69.83%, Val Acc: 71.39%
Epoch [14/50], Loss: 0.7715, Train Acc: 71.45%, Val Acc: 65.40%
Epoch [15/50], Loss: 0.9013, Train Acc: 65.41%, Val Acc: 74.11%
Epoch [16/50], Loss: 0.8972, Train Acc: 66.16%, Val Acc: 67.03%
Epoch [17/50], Loss: 0.7800, Train Acc: 70.70%, Val Acc: 64.58%
Epoch [18/50], Loss: 0.8283, Train Acc: 68.95%, Val Acc: 60.22%
Epoch [19/50], Loss: 0.8258, Train Acc: 68.26%, Val Acc: 69.48%
Epoch [20/50], Loss: 1.0053, Train Acc: 60.93%, Val Acc: 61.04%
Epoch [21/50], Loss: 0.9459, Train Acc: 63.55%, Val Acc: 56.40%
Epoch [22/50], Loss: 0.9409, Train Acc: 63.66%, Val Acc: 62.13%
Epoch [23/50], Loss: 1.0457, Train Acc: 60.12%, Val Acc: 55.59%
Epoch [24/50], Loss: 1.1617, Train Acc: 54.42%, Val Acc: 58.86%
Epoch [25/50], Loss: 1.0517, Train Acc: 57.38%, Val Acc: 56.40%
Epoch [26/50], Loss: 1.0581, Train Acc: 59.13%, Val Acc: 62.67%
Epoch [27/50], Loss: 1.0537, Train Acc: 59.42%, Val Acc: 63.49%
Epoch [28/50], Loss: 0.9454, Train Acc: 63.84%, Val Acc: 61.31%
Epoch [29/50], Loss: 1.0099, Train Acc: 61.40%, Val Acc: 60.22%
Epoch [30/50], Loss: 0.9778, Train Acc: 61.45%, Val Acc: 60.76%
Epoch [31/50], Loss: 0.9503, Train Acc: 63.31%, Val Acc: 57.77%
Epoch [32/50], Loss: 1.0656, Train Acc: 58.26%, Val Acc: 57.49%
Epoch [33/50], Loss: 1.0567, Train Acc: 58.14%, Val Acc: 55.04%
Epoch [34/50], Loss: 1.0668, Train Acc: 57.21%, Val Acc: 60.76%
Epoch [35/50], Loss: 1.0194, Train Acc: 59.88%, Val Acc: 60.49%
Epoch [36/50], Loss: 0.9520, Train Acc: 63.72%, Val Acc: 52.32%
Epoch [37/50], Loss: 0.9697, Train Acc: 61.98%, Val Acc: 62.13%
Epoch [38/50], Loss: 0.9570, Train Acc: 62.91%, Val Acc: 59.13%
Epoch [39/50], Loss: 1.0593, Train Acc: 58.90%, Val Acc: 62.67%
Epoch [40/50], Loss: 1.0296, Train Acc: 61.16%, Val Acc: 55.31%
Epoch [41/50], Loss: 1.0009, Train Acc: 60.23%, Val Acc: 65.67%
Epoch [42/50], Loss: 0.9072, Train Acc: 65.64%, Val Acc: 63.49%
Epoch [43/50], Loss: 0.9076, Train Acc: 66.57%, Val Acc: 68.39%
Epoch [44/50], Loss: 0.9894, Train Acc: 62.03%, Val Acc: 54.22%
Epoch [45/50], Loss: 0.9342, Train Acc: 63.66%, Val Acc: 65.40%
Epoch [46/50], Loss: 0.7820, Train Acc: 70.00%, Val Acc: 65.40%
Epoch [47/50], Loss: 0.7696, Train Acc: 70.12%, Val Acc: 68.39%
Epoch [48/50], Loss: 0.7624, Train Acc: 70.81%, Val Acc: 69.48%
Epoch [49/50], Loss: 0.7872, Train Acc: 69.71%, Val Acc: 70.30%
Epoch [50/50], Loss: 0.8822, Train Acc: 66.57%, Val Acc: 64.03%
Test Accuracy: 64.61%
