Epoch [1/50], Loss: 1.4003, Train Acc: 43.72%, Val Acc: 66.21%
Epoch [2/50], Loss: 0.5860, Train Acc: 77.44%, Val Acc: 87.19%
Epoch [3/50], Loss: 0.3129, Train Acc: 89.13%, Val Acc: 88.83%
Epoch [4/50], Loss: 0.2376, Train Acc: 91.28%, Val Acc: 80.65%
Epoch [5/50], Loss: 0.1436, Train Acc: 95.58%, Val Acc: 94.28%
Epoch [6/50], Loss: 0.1444, Train Acc: 95.35%, Val Acc: 95.91%
Epoch [7/50], Loss: 0.1148, Train Acc: 96.45%, Val Acc: 96.19%
Epoch [8/50], Loss: 0.0592, Train Acc: 98.20%, Val Acc: 94.28%
Epoch [9/50], Loss: 0.1098, Train Acc: 96.80%, Val Acc: 96.73%
Epoch [10/50], Loss: 0.1164, Train Acc: 95.76%, Val Acc: 95.91%
Epoch [11/50], Loss: 0.1266, Train Acc: 95.70%, Val Acc: 92.92%
Epoch [12/50], Loss: 0.0980, Train Acc: 96.69%, Val Acc: 97.82%
Epoch [13/50], Loss: 0.0479, Train Acc: 98.31%, Val Acc: 96.46%
Epoch [14/50], Loss: 0.0269, Train Acc: 98.90%, Val Acc: 98.91%
Epoch [15/50], Loss: 0.0614, Train Acc: 98.55%, Val Acc: 96.73%
Epoch [16/50], Loss: 0.0959, Train Acc: 97.21%, Val Acc: 95.64%
Epoch [17/50], Loss: 0.0619, Train Acc: 97.85%, Val Acc: 95.37%
Epoch [18/50], Loss: 0.0789, Train Acc: 97.62%, Val Acc: 97.55%
Epoch [19/50], Loss: 0.0291, Train Acc: 99.19%, Val Acc: 98.91%
Epoch [20/50], Loss: 0.0366, Train Acc: 99.13%, Val Acc: 98.91%
Epoch [21/50], Loss: 0.0168, Train Acc: 99.48%, Val Acc: 99.46%
Epoch [22/50], Loss: 0.0227, Train Acc: 99.36%, Val Acc: 98.91%
Epoch [23/50], Loss: 0.1150, Train Acc: 96.86%, Val Acc: 92.92%
Epoch [24/50], Loss: 0.0854, Train Acc: 97.21%, Val Acc: 98.09%
Epoch [25/50], Loss: 0.0661, Train Acc: 97.73%, Val Acc: 97.00%
Epoch [26/50], Loss: 0.0639, Train Acc: 97.97%, Val Acc: 98.64%
Epoch [27/50], Loss: 0.0621, Train Acc: 98.08%, Val Acc: 93.73%
Epoch [28/50], Loss: 0.0265, Train Acc: 99.24%, Val Acc: 95.37%
Epoch [29/50], Loss: 0.0580, Train Acc: 98.14%, Val Acc: 97.28%
Epoch [30/50], Loss: 0.0226, Train Acc: 99.30%, Val Acc: 98.37%
Epoch [31/50], Loss: 0.0308, Train Acc: 99.01%, Val Acc: 99.46%
Epoch [32/50], Loss: 0.0154, Train Acc: 99.42%, Val Acc: 99.46%
Epoch [33/50], Loss: 0.0508, Train Acc: 98.55%, Val Acc: 95.91%
Epoch [34/50], Loss: 0.0482, Train Acc: 98.66%, Val Acc: 98.09%
Epoch [35/50], Loss: 0.0229, Train Acc: 99.42%, Val Acc: 99.73%
Epoch [36/50], Loss: 0.0454, Train Acc: 99.01%, Val Acc: 97.55%
Epoch [37/50], Loss: 0.0882, Train Acc: 97.62%, Val Acc: 92.10%
Epoch [38/50], Loss: 0.0750, Train Acc: 97.67%, Val Acc: 97.00%
Epoch [39/50], Loss: 0.0727, Train Acc: 97.97%, Val Acc: 98.37%
Epoch [40/50], Loss: 0.0183, Train Acc: 99.48%, Val Acc: 99.46%
Epoch [41/50], Loss: 0.0423, Train Acc: 98.55%, Val Acc: 97.28%
Epoch [42/50], Loss: 0.0182, Train Acc: 99.30%, Val Acc: 96.73%
Epoch [43/50], Loss: 0.0423, Train Acc: 98.55%, Val Acc: 96.46%
Epoch [44/50], Loss: 0.0676, Train Acc: 98.08%, Val Acc: 98.91%
Epoch [45/50], Loss: 0.0424, Train Acc: 98.49%, Val Acc: 97.82%
Epoch [46/50], Loss: 0.0235, Train Acc: 99.07%, Val Acc: 98.37%
Epoch [47/50], Loss: 0.0630, Train Acc: 98.08%, Val Acc: 99.18%
Epoch [48/50], Loss: 0.0063, Train Acc: 99.77%, Val Acc: 97.82%
Epoch [49/50], Loss: 0.0246, Train Acc: 99.19%, Val Acc: 98.09%
Epoch [50/50], Loss: 0.0381, Train Acc: 98.72%, Val Acc: 98.09%
Test Accuracy: 98.12%

lr=0.00001
batchsize=16
